timestamp,severity,score,country,attack_type,mitre,source_ip,target_system
2026-01-18 16:37:49.415594,Critical,100,RU,DDoS,T1498,219.4.222.123,Load Balancer
2026-01-18 16:41:59.415594,Critical,96,RU,DDoS,T1498,80.143.58.222,DNS Server
2026-01-18 16:42:52.415594,Medium,63,US,Spam,T1566,61.76.117.31,Email Server
2026-01-18 16:53:27.415594,High,78,BR,SQL Injection,T1190,55.26.194.105,API Gateway
2026-01-18 16:53:55.415594,Medium,57,US,Spam,T1566,44.218.26.78,Mail Gateway
2026-01-18 17:01:44.415594,High,80,GB,Command Injection,T1059,32.20.0.14,API Gateway
2026-01-18 17:22:19.415594,High,82,CN,XSS Attack,T1059,117.129.251.94,Web Application
2026-01-18 17:23:17.415594,Critical,90,FR,Malware Distribution,T1204,144.185.190.61,File Server
2026-01-18 17:23:25.415594,Medium,52,IN,Phishing,T1566,194.97.98.181,Email Server
2026-01-18 17:27:15.415594,Critical,98,RU,Malware Distribution,T1204,44.78.22.33,Web Server
2026-01-18 17:34:09.415594,Low,49,IN,Cryptojacking,T1496,172.60.223.18,Cloud Instance
2026-01-18 17:35:12.415594,Low,41,ZA,Suspicious Activity,T1595,163.23.31.204,Network Infrastructure
2026-01-18 17:37:37.415594,Medium,62,DE,Directory Traversal,T1083,137.196.199.103,Web Server
2026-01-18 17:38:14.415594,High,77,RU,SQL Injection,T1190,221.132.155.219,API Gateway
2026-01-18 17:46:05.415594,High,76,HK,SQL Injection,T1190,133.20.75.242,Database Server
2026-01-18 17:54:29.415594,High,87,CN,Port Scanning,T1046,205.59.0.167,Router
2026-01-18 18:00:10.415594,Low,35,US,Suspicious Activity,T1595,161.150.166.253,Network Infrastructure
2026-01-18 18:01:10.415594,Low,32,KR,Cryptojacking,T1496,163.8.54.185,End User
2026-01-18 18:01:24.415594,Low,33,DE,Cryptojacking,T1496,82.166.137.53,End User
2026-01-18 18:04:30.415594,High,78,RU,Command Injection,T1059,48.253.92.118,Web Application
2026-01-18 18:12:47.415594,High,82,CN,SQL Injection,T1190,164.83.90.210,API Gateway
2026-01-18 18:26:37.415594,High,77,BR,Port Scanning,T1046,221.206.51.186,Router
2026-01-18 18:29:57.415594,Low,25,IT,Cryptojacking,T1496,13.56.6.196,Web Server
2026-01-18 18:35:40.415594,Critical,91,US,Brute Force,T1110,19.173.43.52,FTP Server
2026-01-18 18:37:13.415594,Low,34,IT,Policy Violation,T1071,62.136.63.6,Proxy Server
2026-01-18 18:38:11.415594,Medium,53,US,Directory Traversal,T1083,19.116.218.99,Application Server
2026-01-18 18:39:27.415594,High,89,SA,Command Injection,T1059,88.56.114.27,API Gateway
2026-01-18 18:42:06.415594,High,84,BR,XSS Attack,T1059,16.77.91.110,CMS
2026-01-18 18:44:51.415594,High,81,IN,SQL Injection,T1190,166.53.138.235,Web Application
2026-01-18 18:49:46.415594,Low,47,CN,Suspicious Activity,T1595,201.75.163.38,IDS/IPS
2026-01-18 18:57:21.415594,Low,28,JP,Cryptojacking,T1496,55.165.65.47,End User
2026-01-18 19:02:37.415594,High,81,BR,Command Injection,T1059,89.125.196.108,Shell Server
2026-01-18 19:09:38.415594,Medium,67,CN,Spam,T1566,218.112.44.61,Email Server
2026-01-18 19:17:00.415594,Low,25,ES,Policy Violation,T1071,72.30.178.93,Proxy Server
2026-01-18 19:20:50.415594,High,77,NL,Command Injection,T1059,32.70.60.247,Web Application
2026-01-18 19:23:45.415594,High,75,DE,Command Injection,T1059,198.37.244.215,Web Application
2026-01-18 19:27:10.415594,Critical,95,RU,DDoS,T1498,11.213.76.196,DNS Server
2026-01-18 19:27:22.415594,Medium,72,US,Reconnaissance,T1592,180.6.146.29,WHOIS Server
2026-01-18 19:37:25.415594,Critical,92,DE,Malware Distribution,T1204,129.232.132.236,Web Server
2026-01-18 19:41:50.415594,Medium,63,US,Spam,T1566,35.108.205.159,Mail Gateway
2026-01-18 19:43:37.415594,High,86,US,Port Scanning,T1046,187.207.194.43,Network Infrastructure
2026-01-18 19:58:53.415594,Medium,56,RU,Reconnaissance,T1592,141.171.14.62,WHOIS Server
2026-01-18 20:00:51.415594,Critical,93,RU,Malware Distribution,T1204,204.103.16.62,Email Server
2026-01-18 20:01:16.415594,Medium,65,RU,Phishing,T1566,168.4.182.193,End User
2026-01-18 20:03:49.415594,Medium,60,MY,Directory Traversal,T1083,200.49.169.105,Application Server
2026-01-18 20:09:18.415594,Critical,92,US,DDoS,T1498,222.19.148.42,Load Balancer
2026-01-18 20:14:12.415594,Critical,100,IN,DDoS,T1498,205.72.82.247,API Gateway
2026-01-18 20:14:30.415594,Medium,54,CL,Reconnaissance,T1592,38.198.122.54,WHOIS Server
2026-01-18 20:15:31.415594,Critical,92,MX,Malware Distribution,T1204,81.73.158.141,Email Server
2026-01-18 20:16:13.415594,Medium,64,US,Reconnaissance,T1592,22.143.186.91,DNS Server
2026-01-18 20:17:15.415594,Medium,64,BR,Reconnaissance,T1592,220.71.63.249,DNS Server
2026-01-18 20:17:42.415594,High,79,GB,Command Injection,T1059,144.160.191.22,Shell Server
2026-01-18 20:18:02.415594,Medium,71,US,Phishing,T1566,207.4.79.219,End User
2026-01-18 20:25:09.415594,High,81,IN,Port Scanning,T1046,221.47.178.120,Router
2026-01-18 20:28:05.415594,Low,39,CN,Suspicious Activity,T1595,151.221.102.103,IDS/IPS
2026-01-18 20:32:28.415594,High,84,US,Command Injection,T1059,188.232.19.140,API Gateway
2026-01-18 20:52:19.415594,Critical,93,IN,Brute Force,T1110,73.185.220.251,SSH Server
2026-01-18 20:53:49.415594,High,75,CN,Command Injection,T1059,35.72.35.71,API Gateway
2026-01-18 20:57:41.415594,Low,39,AT,Policy Violation,T1071,68.27.47.230,Web Gateway
2026-01-18 20:57:55.415594,Low,34,NL,Suspicious Activity,T1595,172.243.82.248,IDS/IPS
2026-01-18 20:59:35.415594,Low,43,AR,Policy Violation,T1071,106.74.165.171,Content Filter
2026-01-18 21:00:00.415594,Medium,73,CA,Reconnaissance,T1592,2.255.162.30,WHOIS Server
2026-01-18 21:00:11.415594,Medium,66,KR,Phishing,T1566,220.49.18.56,Email Server
2026-01-18 21:02:39.415594,Medium,67,GB,Spam,T1566,176.107.97.249,Email Server
2026-01-18 21:07:27.415594,High,80,CN,Port Scanning,T1046,199.255.233.106,Network Infrastructure
2026-01-18 21:08:38.415594,Low,38,RU,Cryptojacking,T1496,125.234.219.96,Cloud Instance
2026-01-18 21:14:24.415594,High,81,ES,Command Injection,T1059,210.50.44.207,Web Application
2026-01-18 21:15:20.415594,Medium,69,RU,Directory Traversal,T1083,198.227.16.171,File Server
2026-01-18 21:32:22.415594,High,87,AE,Command Injection,T1059,71.240.63.90,API Gateway
2026-01-18 21:35:22.415594,Medium,70,GB,Directory Traversal,T1083,206.145.137.226,File Server
2026-01-18 21:41:53.415594,Low,38,CA,Cryptojacking,T1496,31.7.13.40,Cloud Instance
2026-01-18 21:44:53.415594,Low,44,FR,Policy Violation,T1071,43.200.98.158,Proxy Server
2026-01-18 21:45:28.415594,Low,43,RU,Policy Violation,T1071,177.162.81.112,Content Filter
2026-01-18 21:47:25.415594,Low,41,US,Suspicious Activity,T1595,208.81.165.53,Network Infrastructure
2026-01-18 21:52:06.415594,Medium,70,FR,Spam,T1566,4.66.232.163,Mail Gateway
2026-01-18 21:58:37.415594,High,85,US,SQL Injection,T1190,207.193.133.169,Database Server
2026-01-18 21:59:58.415594,Low,45,RU,Suspicious Activity,T1595,141.62.54.37,Network Infrastructure
2026-01-18 22:01:06.415594,Critical,97,US,Brute Force,T1110,117.251.11.106,SSH Server
2026-01-18 22:02:35.415594,High,81,AT,Command Injection,T1059,114.92.152.3,Shell Server
2026-01-18 22:06:39.415594,Medium,69,KR,Phishing,T1566,171.2.81.134,Email Server
2026-01-18 22:08:31.415594,High,75,CN,Port Scanning,T1046,147.58.111.8,Firewall
2026-01-18 22:16:25.415594,Critical,92,KR,Brute Force,T1110,36.178.150.120,FTP Server
2026-01-18 22:17:37.415594,Medium,62,DE,Spam,T1566,204.143.201.27,SMTP Server
2026-01-18 22:23:31.415594,High,87,CN,SQL Injection,T1190,190.216.139.209,Database Server
2026-01-18 22:24:24.415594,Medium,63,MY,Spam,T1566,215.32.230.43,SMTP Server
2026-01-18 22:26:40.415594,High,81,CN,XSS Attack,T1059,78.58.92.208,Web Application
2026-01-18 22:27:26.415594,High,76,CN,SQL Injection,T1190,85.160.62.3,Database Server
2026-01-18 22:27:32.415594,Medium,56,DE,Directory Traversal,T1083,206.33.197.73,Application Server
2026-01-18 22:31:34.415594,High,83,CN,XSS Attack,T1059,218.222.162.209,Web Application
2026-01-18 22:50:26.415594,Critical,97,DE,Brute Force,T1110,6.63.231.44,FTP Server
2026-01-18 22:57:01.415594,High,75,MY,XSS Attack,T1059,128.67.206.10,CMS
2026-01-18 22:59:15.415594,Critical,100,JP,DDoS,T1498,188.154.140.82,Load Balancer
2026-01-18 23:13:25.415594,Critical,95,FR,Brute Force,T1110,134.232.252.218,SSH Server
2026-01-18 23:14:03.415594,Low,44,MX,Suspicious Activity,T1595,4.71.53.83,IDS/IPS
2026-01-18 23:22:50.415594,High,76,CA,SQL Injection,T1190,192.26.132.227,Database Server
2026-01-18 23:24:13.415594,Critical,94,IN,DDoS,T1498,170.87.70.150,DNS Server
2026-01-18 23:25:27.415594,High,77,IN,Command Injection,T1059,199.123.244.170,API Gateway
2026-01-18 23:26:12.415594,High,86,ES,Command Injection,T1059,139.42.180.143,Web Application
2026-01-18 23:29:33.415594,Medium,73,GB,Spam,T1566,137.30.108.4,Mail Gateway
2026-01-18 23:31:56.415594,Low,31,IN,Policy Violation,T1071,205.160.159.182,Proxy Server
2026-01-18 23:35:37.415594,Low,28,US,Suspicious Activity,T1595,174.103.204.49,IDS/IPS
2026-01-18 23:39:34.415594,High,79,MY,Port Scanning,T1046,198.56.123.5,Firewall
2026-01-18 23:44:36.415594,High,82,RU,Command Injection,T1059,199.43.181.111,API Gateway
2026-01-18 23:44:56.415594,Medium,66,CN,Reconnaissance,T1592,184.50.25.167,Web Server
2026-01-18 23:45:44.415594,High,78,US,Command Injection,T1059,223.221.55.175,Web Application
2026-01-18 23:50:58.415594,Low,32,RU,Suspicious Activity,T1595,7.33.51.71,IDS/IPS
2026-01-18 23:51:09.415594,High,76,FR,SQL Injection,T1190,94.87.104.89,API Gateway
2026-01-18 23:51:46.415594,Medium,73,CN,Phishing,T1566,222.156.122.44,Email Server
2026-01-18 23:54:43.415594,High,80,ZA,Command Injection,T1059,129.171.10.46,Web Application
2026-01-18 23:56:03.415594,High,87,RU,Port Scanning,T1046,222.0.250.224,Firewall
2026-01-19 00:06:31.415594,Critical,90,US,Malware Distribution,T1204,206.85.75.199,Web Server
2026-01-19 00:10:28.415594,Low,35,IN,Policy Violation,T1071,208.249.129.94,Web Gateway
2026-01-19 00:24:37.415594,High,80,CL,Command Injection,T1059,15.210.112.169,API Gateway
2026-01-19 00:33:06.415594,Medium,57,RU,Directory Traversal,T1083,47.193.55.248,Application Server
2026-01-19 00:36:27.415594,Medium,64,RU,Spam,T1566,172.213.141.80,SMTP Server
2026-01-19 00:52:21.415594,Medium,60,TH,Phishing,T1566,186.56.4.128,Email Server
2026-01-19 00:52:55.415594,Medium,54,RU,Reconnaissance,T1592,148.147.33.205,Web Server
2026-01-19 00:54:28.415594,Critical,94,GB,Malware Distribution,T1204,134.2.220.91,Email Server
2026-01-19 00:55:25.415594,Critical,92,RU,Brute Force,T1110,113.138.73.188,SSH Server
2026-01-19 00:56:28.415594,High,75,AE,Command Injection,T1059,207.197.216.103,Web Application
2026-01-19 01:03:43.415594,Low,34,JP,Cryptojacking,T1496,219.165.71.175,End User
2026-01-19 01:05:36.415594,Critical,98,CA,DDoS,T1498,167.236.93.97,Load Balancer
2026-01-19 01:08:49.415594,Critical,98,IN,Brute Force,T1110,168.181.218.120,FTP Server
2026-01-19 01:27:15.415594,Medium,67,BR,Phishing,T1566,123.154.124.149,Email Server
2026-01-19 01:34:28.415594,Medium,68,JP,Reconnaissance,T1592,178.3.236.207,WHOIS Server
2026-01-19 01:38:41.415594,Medium,51,IN,Phishing,T1566,162.49.148.145,End User
2026-01-19 01:44:45.415594,Low,28,RU,Cryptojacking,T1496,205.73.253.35,Cloud Instance
2026-01-19 01:48:28.415594,Medium,54,US,Reconnaissance,T1592,167.102.58.18,WHOIS Server
2026-01-19 01:51:37.415594,Low,41,US,Suspicious Activity,T1595,154.12.227.101,Network Infrastructure
2026-01-19 01:54:20.415594,High,82,US,SQL Injection,T1190,208.224.63.111,Database Server
2026-01-19 01:54:25.415594,High,88,US,SQL Injection,T1190,153.148.148.171,API Gateway
2026-01-19 01:57:35.415594,Medium,71,US,Reconnaissance,T1592,177.213.217.38,Web Server
2026-01-19 02:06:06.415594,Critical,96,TR,DDoS,T1498,194.227.21.233,DNS Server
2026-01-19 02:09:03.415594,Medium,73,NL,Directory Traversal,T1083,129.107.178.232,File Server
2026-01-19 02:21:17.415594,Medium,55,JP,Spam,T1566,221.71.142.201,Mail Gateway
2026-01-19 02:23:27.415594,Low,27,NL,Cryptojacking,T1496,222.92.132.34,Cloud Instance
2026-01-19 02:24:18.415594,Low,36,US,Cryptojacking,T1496,80.15.81.60,Web Server
2026-01-19 02:26:14.415594,Medium,71,ZA,Directory Traversal,T1083,42.89.196.194,Web Server
2026-01-19 02:30:51.415594,Critical,94,US,DDoS,T1498,137.15.89.83,Load Balancer
2026-01-19 02:31:10.415594,High,85,KR,SQL Injection,T1190,160.146.115.52,Web Application
2026-01-19 02:32:34.415594,Low,31,US,Suspicious Activity,T1595,75.17.71.229,IDS/IPS
2026-01-19 02:38:33.415594,Medium,52,FR,Reconnaissance,T1592,24.242.180.92,WHOIS Server
2026-01-19 02:47:12.415594,Low,27,BR,Policy Violation,T1071,196.40.65.201,Proxy Server
2026-01-19 02:48:24.415594,Critical,93,NL,DDoS,T1498,77.148.128.100,Web Server
2026-01-19 02:52:25.415594,Low,30,IN,Policy Violation,T1071,158.29.56.150,Web Gateway
2026-01-19 02:54:00.415594,Medium,51,BR,Reconnaissance,T1592,161.30.71.53,WHOIS Server
2026-01-19 02:54:03.415594,High,87,US,Port Scanning,T1046,196.18.177.252,Network Infrastructure
2026-01-19 02:57:27.415594,Medium,69,IN,Phishing,T1566,189.21.53.10,Email Server
2026-01-19 02:57:41.415594,Medium,63,DE,Directory Traversal,T1083,39.13.100.137,File Server
2026-01-19 02:59:03.415594,Medium,73,NL,Phishing,T1566,189.193.64.111,Mail Gateway
2026-01-19 02:59:18.415594,Critical,97,US,DDoS,T1498,115.175.223.236,DNS Server
2026-01-19 03:03:26.415594,Critical,90,US,DDoS,T1498,192.127.29.20,Load Balancer
2026-01-19 03:16:54.415594,High,75,US,XSS Attack,T1059,45.203.245.169,Web Application
2026-01-19 03:19:27.415594,Critical,98,BR,DDoS,T1498,173.154.187.200,DNS Server
2026-01-19 03:20:21.415594,Medium,58,US,Reconnaissance,T1592,141.210.248.72,DNS Server
2026-01-19 03:26:15.415594,Low,41,RU,Suspicious Activity,T1595,154.72.18.251,IDS/IPS
2026-01-19 03:27:44.415594,Medium,64,IT,Phishing,T1566,191.142.196.77,Email Server
2026-01-19 03:28:48.415594,Critical,99,RU,Brute Force,T1110,130.227.22.58,RDP Server
2026-01-19 03:32:11.415594,Medium,67,DE,Phishing,T1566,194.178.13.233,End User
2026-01-19 03:36:37.415594,Low,33,KR,Cryptojacking,T1496,213.222.218.201,Cloud Instance
2026-01-19 03:41:21.415594,Low,28,CN,Cryptojacking,T1496,164.133.83.246,Cloud Instance
2026-01-19 03:49:48.415594,Low,32,JP,Suspicious Activity,T1595,209.140.43.64,IDS/IPS
2026-01-19 04:04:10.415594,High,81,CN,Port Scanning,T1046,163.128.6.32,Router
2026-01-19 04:05:04.415594,High,79,AE,SQL Injection,T1190,187.4.238.10,Web Application
2026-01-19 04:30:55.415594,Medium,67,RU,Spam,T1566,135.160.32.113,Mail Gateway
2026-01-19 04:35:02.415594,High,82,GB,SQL Injection,T1190,201.25.119.30,Database Server
2026-01-19 04:39:14.415594,Medium,64,GB,Reconnaissance,T1592,195.132.131.5,Web Server
2026-01-19 04:45:00.415594,Medium,51,US,Spam,T1566,196.227.57.131,Email Server
2026-01-19 04:48:00.415594,High,80,CA,Command Injection,T1059,10.12.167.156,API Gateway
2026-01-19 04:52:35.415594,Low,45,TH,Policy Violation,T1071,61.188.22.75,Content Filter
2026-01-19 04:59:04.415594,Critical,99,KR,DDoS,T1498,104.193.16.169,Load Balancer
2026-01-19 04:59:34.415594,Low,45,SG,Suspicious Activity,T1595,206.214.62.217,Network Infrastructure
2026-01-19 05:01:43.415594,Medium,71,RU,Directory Traversal,T1083,204.150.124.85,File Server
2026-01-19 05:04:03.415594,High,80,CN,Port Scanning,T1046,220.209.185.21,Router
2026-01-19 05:07:52.415594,Critical,95,BR,Malware Distribution,T1204,157.117.64.237,CDN
2026-01-19 05:19:13.415594,Medium,71,CN,Spam,T1566,161.160.60.21,SMTP Server
2026-01-19 05:28:54.415594,Low,43,IN,Policy Violation,T1071,153.7.85.31,Content Filter
2026-01-19 05:32:49.415594,Medium,65,BR,Phishing,T1566,17.85.37.34,Mail Gateway
2026-01-19 05:44:21.415594,Low,38,AT,Policy Violation,T1071,207.150.60.87,Web Gateway
2026-01-19 05:46:39.415594,Medium,69,CN,Phishing,T1566,196.181.229.234,End User
2026-01-19 05:53:49.415594,Medium,63,MY,Reconnaissance,T1592,200.93.42.39,WHOIS Server
2026-01-19 06:03:12.415594,Medium,71,RU,Directory Traversal,T1083,49.143.49.60,File Server
2026-01-19 06:04:35.415594,Critical,98,RU,Malware Distribution,T1204,182.196.163.194,File Server
2026-01-19 06:08:19.415594,Critical,93,US,Brute Force,T1110,67.177.145.43,Web Application
2026-01-19 06:21:32.415594,Medium,57,RU,Spam,T1566,37.142.72.25,SMTP Server
2026-01-19 06:26:55.415594,Low,25,RU,Cryptojacking,T1496,116.250.13.95,Cloud Instance
2026-01-19 06:27:53.415594,Medium,64,IN,Spam,T1566,107.61.227.228,Mail Gateway
2026-01-19 06:29:12.415594,Critical,92,US,Brute Force,T1110,94.113.38.84,Web Application
2026-01-19 06:47:39.415594,High,85,ES,Port Scanning,T1046,168.51.162.49,Router
2026-01-19 06:48:44.415594,Low,45,RU,Suspicious Activity,T1595,122.192.112.173,IDS/IPS
2026-01-19 06:49:35.415594,High,88,BR,SQL Injection,T1190,94.101.45.244,API Gateway
2026-01-19 06:53:04.415594,Medium,50,GB,Directory Traversal,T1083,205.91.19.108,Application Server
2026-01-19 06:54:44.415594,High,84,RU,SQL Injection,T1190,222.92.153.216,Web Application
2026-01-19 06:58:11.415594,Medium,65,AE,Directory Traversal,T1083,173.49.112.29,File Server
2026-01-19 07:04:43.415594,Medium,64,US,Reconnaissance,T1592,32.237.163.170,WHOIS Server
2026-01-19 07:05:28.415594,High,77,RU,Command Injection,T1059,218.120.14.75,Web Application
2026-01-19 07:08:36.415594,Low,38,AU,Suspicious Activity,T1595,208.162.210.101,IDS/IPS
2026-01-19 07:16:11.415594,High,89,CN,Port Scanning,T1046,190.23.157.115,Router
2026-01-19 07:28:52.415594,Low,42,CN,Suspicious Activity,T1595,100.10.10.206,IDS/IPS
2026-01-19 07:30:25.415594,Low,49,BR,Cryptojacking,T1496,134.101.80.215,Cloud Instance
2026-01-19 07:32:16.415594,High,87,US,SQL Injection,T1190,175.110.127.241,Database Server
2026-01-19 07:33:09.415594,Low,41,US,Suspicious Activity,T1595,65.80.144.78,Network Infrastructure
2026-01-19 07:34:38.415594,Critical,91,US,Brute Force,T1110,200.138.43.20,FTP Server
2026-01-19 07:42:44.415594,Critical,98,DE,Malware Distribution,T1204,198.200.99.213,Web Server
2026-01-19 07:43:55.415594,Low,38,RU,Cryptojacking,T1496,130.234.103.26,Cloud Instance
2026-01-19 07:52:49.415594,Medium,62,TR,Reconnaissance,T1592,139.142.247.73,WHOIS Server
2026-01-19 07:57:33.415594,Medium,62,DE,Phishing,T1566,215.55.231.58,Email Server
2026-01-19 07:58:01.415594,High,78,AU,Command Injection,T1059,198.159.170.37,Web Application
2026-01-19 08:01:41.415594,Critical,92,ES,DDoS,T1498,111.72.206.158,DNS Server
2026-01-19 08:04:15.415594,Critical,97,BR,Brute Force,T1110,53.18.164.177,FTP Server
2026-01-19 08:15:46.415594,Low,33,NL,Cryptojacking,T1496,190.120.164.119,Cloud Instance
2026-01-19 08:33:22.415594,Medium,73,JP,Phishing,T1566,219.39.192.33,Email Server
2026-01-19 08:40:24.415594,Medium,53,FR,Spam,T1566,26.217.253.44,SMTP Server
2026-01-19 08:49:55.415594,Medium,73,PL,Directory Traversal,T1083,52.222.150.185,Application Server
2026-01-19 09:01:30.415594,High,80,DE,XSS Attack,T1059,149.104.190.133,API Gateway
2026-01-19 09:08:45.415594,Medium,60,IN,Spam,T1566,188.213.91.39,Email Server
2026-01-19 09:10:15.415594,High,78,IN,SQL Injection,T1190,140.48.31.160,Database Server
2026-01-19 09:17:10.415594,Critical,100,RU,Malware Distribution,T1204,214.7.98.71,CDN
2026-01-19 09:27:22.415594,Medium,59,US,Reconnaissance,T1592,208.103.39.152,WHOIS Server
2026-01-19 09:27:26.415594,High,77,JP,XSS Attack,T1059,200.196.169.148,CMS
2026-01-19 09:37:55.415594,Medium,73,AU,Directory Traversal,T1083,27.110.46.238,Web Server
2026-01-19 09:42:26.415594,Critical,97,IN,DDoS,T1498,42.225.217.171,API Gateway
2026-01-19 09:49:25.415594,Medium,53,ES,Spam,T1566,178.242.181.80,Mail Gateway
2026-01-19 09:59:19.415594,Medium,69,IN,Spam,T1566,209.73.223.144,SMTP Server
2026-01-19 10:00:28.415594,Low,46,IN,Suspicious Activity,T1595,72.12.187.219,IDS/IPS
2026-01-19 10:15:28.415594,Medium,56,CN,Spam,T1566,203.5.100.114,Email Server
2026-01-19 10:16:39.415594,Critical,94,FR,Brute Force,T1110,208.6.139.9,FTP Server
2026-01-19 10:16:50.415594,High,86,RU,XSS Attack,T1059,193.241.232.126,CMS
2026-01-19 10:17:22.415594,Low,49,KR,Cryptojacking,T1496,141.14.78.181,Web Server
2026-01-19 10:19:43.415594,Critical,91,DE,DDoS,T1498,57.142.99.168,Web Server
2026-01-19 10:23:31.415594,High,85,ES,XSS Attack,T1059,215.7.206.107,CMS
2026-01-19 10:23:37.415594,Critical,93,DE,Malware Distribution,T1204,19.227.22.71,CDN
2026-01-19 10:25:08.415594,High,86,ES,Port Scanning,T1046,40.174.238.146,Firewall
2026-01-19 10:26:46.415594,Medium,64,DE,Phishing,T1566,203.44.95.82,Email Server
2026-01-19 10:29:40.415594,Low,25,GB,Suspicious Activity,T1595,82.126.157.215,Network Infrastructure
2026-01-19 10:38:50.415594,Medium,73,US,Spam,T1566,216.146.91.72,Mail Gateway
2026-01-19 10:41:21.415594,Medium,56,US,Reconnaissance,T1592,153.132.225.68,Web Server
2026-01-19 10:43:29.415594,Medium,61,BR,Directory Traversal,T1083,194.197.79.138,Application Server
2026-01-19 10:44:35.415594,Medium,70,IN,Reconnaissance,T1592,27.107.132.56,DNS Server
2026-01-19 10:47:37.415594,Low,41,BR,Cryptojacking,T1496,81.239.165.96,Cloud Instance
2026-01-19 10:48:41.415594,Medium,51,CN,Reconnaissance,T1592,90.81.215.122,WHOIS Server
2026-01-19 10:51:55.415594,Low,30,AU,Policy Violation,T1071,221.95.11.113,Web Gateway
